Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
,,,20010,,0.0
,,,20015,,0.0
,,,20037,,0.0
,,,20074,,0.0
,,,20161,,0.0
,,,20185,,0.0
,,,20437,,0.0
,,,20601,,1796.0
,,,20602,,1985.0
,,,20603,,2104.0
,,,20604,,30.0
,,,20606,,12.0
,,,20607,,853.0
,,,20608,,39.0
,,,20609,,41.0
,,,20611,,59.0
,,,20612,,13.0
,,,20613,,1103.0
,,,20615,,20.0
,,,20616,,484.0
,,,20617,,50.0
,,,20618,,37.0
,,,20619,,621.0
,,,20620,,95.0
,,,20621,,49.0
,,,20622,,464.0
,,,20623,,185.0
,,,20624,,77.0
,,,20625,,36.0
,,,20626,,11.0
,,,20628,,20.0
,,,20629,,0.0
,,,20630,,41.0
,,,20632,,37.0
,,,20634,,394.0
,,,20636,,517.0
,,,20637,,280.0
,,,20639,,626.0
,,,20640,,651.0
,,,20644,,0.0
,,,20645,,51.0
,,,20646,,1161.0
,,,20650,,712.0
,,,20653,,1311.0
,,,20656,,35.0
,,,20657,,900.0
,,,20658,,56.0
,,,20659,,1156.0
,,,20662,,152.0
,,,20664,,139.0
,,,20667,,12.0
,,,20670,,50.0
,,,20674,,26.0
,,,20675,,95.0
,,,20676,,97.0
,,,20677,,125.0
,,,20678,,602.0
,,,20680,,21.0
,,,20684,,44.0
,,,20685,,259.0
,,,20687,,18.0
,,,20688,,106.0
,,,20689,,88.0
,,,20690,,23.0
,,,20692,,48.0
,,,20693,,61.0
,,,20695,,849.0
,,,20701,,35.0
,,,20702,,0.0
,,,20703,,20.0
,,,20704,,19.0
,,,20705,,3001.0
,,,20706,,4807.0
,,,20707,,3360.0
,,,20708,,2505.0
,,,20710,,974.0
,,,20711,,514.0
,,,20712,,760.0
,,,20714,,205.0
,,,20715,,1568.0
,,,20716,,1570.0
,,,20717,,0.0
,,,20718,,10.0
,,,20719,,0.0
,,,20720,,1816.0
,,,20721,,2198.0
,,,20722,,722.0
,,,20723,,2311.0
,,,20724,,1598.0
,,,20725,,13.0
,,,20732,,447.0
,,,20733,,157.0
,,,20735,,3367.0
,,,20736,,431.0
,,,20737,,2688.0
,,,20740,,2490.0
,,,20741,,13.0
,,,20742,,511.0
,,,20743,,3449.0
,,,20744,,4315.0
,,,20745,,2723.0
,,,20746,,2442.0
,,,20747,,3391.0
,,,20748,,3287.0
,,,20750,,0.0
,,,20751,,123.0
,,,20754,,356.0
,,,20755,,402.0
,,,20757,,15.0
,,,20758,,40.0
,,,20759,,305.0
,,,20760,,0.0
