,Zip Code,AREALAND,AREAWATR,Pop2010_x,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,TotalCases
7,20601,115635266.0,387684.0,24156.0,8722.0,9785.0,11146.0,155.0,880.0,11.0,48.0,849.0,1282.0,40.5,46.1,0.6,3.6,0.0,0.2,3.5,5.3,1922.0,8.0,37.3,376.0,4.3,71.1,11.2,19.9,30.4,1796.0
8,20602,35830723.0,352762.0,24955.0,9736.0,8466.0,13054.0,116.0,731.0,15.0,58.0,999.0,1516.0,33.9,52.3,0.5,2.9,0.1,0.2,4.0,6.1,1964.0,7.9,32.6,769.0,7.9,59.7,9.0,34.4,43.6,1985.0
9,20603,44239637.0,219356.0,28967.0,10317.0,9625.0,15025.0,98.0,1446.0,24.0,65.0,1091.0,1593.0,33.2,51.9,0.3,5.0,0.1,0.2,3.8,5.5,1400.0,4.8,34.5,531.0,5.1,73.8,4.7,22.6,29.9,2104.0
11,20606,7501011.0,1248760.0,431.0,230.0,377.0,45.0,1.0,4.0,0.0,0.0,0.0,4.0,87.5,10.4,0.2,0.9,0.0,0.0,0.0,0.9,108.0,25.1,49.1,15.0,6.5,49.7,39.3,18.1,31.2,12.0
12,20607,54357590.0,448221.0,9802.0,3504.0,2165.0,6321.0,33.0,560.0,3.0,6.0,234.0,480.0,22.1,64.5,0.3,5.7,0.0,0.1,2.4,4.9,847.0,8.6,40.9,172.0,4.9,83.1,10.3,7.4,22.1,853.0
13,20608,45583064.0,5330329.0,919.0,426.0,438.0,453.0,5.0,2.0,0.0,0.0,9.0,12.0,47.7,49.3,0.5,0.2,0.0,0.0,1.0,1.3,173.0,18.8,46.6,39.0,9.2,60.4,28.2,15.9,14.1,39.0
14,20609,25723294.0,6602735.0,1120.0,554.0,1009.0,82.0,2.0,1.0,1.0,0.0,15.0,10.0,90.1,7.3,0.2,0.1,0.1,0.0,1.3,0.9,271.0,24.2,47.6,32.0,5.8,44.8,38.7,27.0,28.9,41.0
15,20611,18243786.0,33481.0,1078.0,413.0,798.0,215.0,5.0,10.0,0.0,0.0,33.0,17.0,74.0,19.9,0.5,0.9,0.0,0.0,3.1,1.6,129.0,12.0,44.3,22.0,5.3,63.8,21.8,18.3,24.5,59.0
16,20612,604744.0,1337569.0,261.0,142.0,245.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,93.9,4.6,0.0,0.0,0.0,0.0,0.4,1.1,54.0,20.7,47.3,14.0,9.9,38.3,43.9,31.7,43.9,13.0
17,20613,195821362.0,3726835.0,11860.0,4424.0,4044.0,6786.0,106.0,186.0,4.0,8.0,321.0,405.0,34.1,57.2,0.9,1.6,0.0,0.1,2.7,3.4,1372.0,11.6,40.8,249.0,5.6,73.9,17.4,10.5,26.7,1103.0
18,20615,1883242.0,220896.0,405.0,204.0,352.0,32.0,2.0,3.0,1.0,0.0,13.0,2.0,86.9,7.9,0.5,0.7,0.2,0.0,3.2,0.5,73.0,18.0,42.4,18.0,8.8,60.9,25.2,18.6,25.9,20.0
19,20616,25397165.0,3717651.0,5857.0,2203.0,1891.0,3309.0,32.0,165.0,2.0,1.0,213.0,244.0,32.3,56.5,0.5,2.8,0.0,0.0,3.6,4.2,553.0,9.4,36.3,158.0,7.2,70.1,17.4,15.1,35.7,484.0
20,20617,16949455.0,17679.0,781.0,301.0,587.0,163.0,3.0,5.0,0.0,0.0,14.0,9.0,75.2,20.9,0.4,0.6,0.0,0.0,1.8,1.2,174.0,22.3,47.8,8.0,2.7,63.9,31.4,6.9,22.2,50.0
21,20618,14439547.0,2492573.0,607.0,280.0,523.0,65.0,4.0,1.0,0.0,3.0,4.0,7.0,86.2,10.7,0.7,0.2,0.0,0.5,0.7,1.2,138.0,22.7,45.2,18.0,6.4,52.6,35.3,18.6,26.5,37.0
22,20619,40517011.0,3714765.0,10503.0,4366.0,8071.0,1111.0,38.0,402.0,4.0,5.0,325.0,547.0,76.8,10.6,0.4,3.8,0.0,0.0,3.1,5.2,808.0,7.7,34.0,260.0,6.0,55.8,14.7,34.5,24.8,621.0
23,20620,10023159.0,240541.0,1443.0,557.0,1057.0,230.0,8.0,47.0,1.0,8.0,55.0,37.0,73.3,15.9,0.6,3.3,0.1,0.6,3.8,2.6,129.0,8.9,36.8,34.0,6.1,61.1,19.2,24.3,32.7,95.0
24,20621,35945451.0,4052045.0,1373.0,777.0,912.0,413.0,11.0,1.0,0.0,0.0,26.0,10.0,66.4,30.1,0.8,0.1,0.0,0.0,1.9,0.7,217.0,15.8,41.8,68.0,8.8,58.0,31.3,15.6,29.3,49.0
